기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202401,22794.0,23822.0,-4.3,3070.0,3193.0,-3.8
202402,24052.0,21561.0,11.6,3028.0,3112.0,-2.7
202403,26931.0,26148.0,3.0,3480.0,3478.0,0.1
202404,22584.0,22684.0,-0.4,3370.0,3619.0,-6.9
202405,24949.0,24824.0,0.5,3564.0,3803.0,-6.3
202406,23462.0,23275.0,0.8,3392.0,3569.0,-5.0
202407,24156.0,24847.0,-2.8,3271.0,3589.0,-8.9
202408,25961.0,25609.0,1.4,3431.0,3506.0,-2.1
202409,26161.0,26468.0,-1.2,3254.0,3456.0,-5.8
202410,25203.0,25950.0,-2.9,3409.0,3672.0,-7.2
202411,23280.0,22690.0,2.6,3264.0,3352.0,-2.6
202412,23154.0,23626.0,-2.0,3256.0,3565.0,-8.7
