baseAddr,detailAddr,zipCd,contentId,contentTypeId,regDt,orgImage,thumbImage,cpyrhtDivCd,mapX,mapY,mlevel,mdfcnDt,tel,title,showflag,lDongRegnCd,lDongSignguCd,wellnessThemaCd,langDivCd,oldContentId
강원특별자치도 삼척시 가곡면 탕곡리,509-3,25954,2994116,12,20230717155822,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296318,37.1507494904,6,20241122151714,033-572-1800,가곡유황온천&스파,1,51,230,EX050100,KOR,2994116
경상남도 거창군 가조면 온천길 161,,50118,127956,12,20040127090000,http://tong.visitkorea.or.kr/cms/resource/83/3414283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3414283_image3_1.jpg,Type3,128.0229317531,35.6985345364,6,20250317212111,,가조 백두산천지온천,1,48,880,EX050100,KOR,127956
울산광역시 북구 동해안로 1418,(구유동),44233,1624227,12,20120508015144,http://tong.visitkorea.or.kr/cms/resource/26/3077926_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/26/3077926_image3_1.bmp,Type3,129.4505699154,35.6138565417,6,20240510170335,,강동 해수온천,1,31,200,EX050100,KOR,1624227
서울특별시 광진구 구의강변로 45 (구의동),,05049,128961,12,20060508090000,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image3_1.JPG,Type3,127.0913227521,37.5349377239,6,20250328153350,,강변스파랜드,1,11,215,EX050200,KOR,128961
인천광역시 강화군 길상면 해안남로 13-12,,23052,662637,12,20081206001811,http://tong.visitkorea.or.kr/cms/resource/77/3040477_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3040477_image3_1.jpg,Type3,126.5337766252,37.6260699674,6,20250521165954,,강화해수랜드,1,28,710,EX050100,KOR,662637
경상남도 거제시 수양로 507,(양정동),53235,127966,12,20031111090000,http://tong.visitkorea.or.kr/cms/resource/00/3516400_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3516400_image3_1.jpg,Type1,128.6352635905,34.8909030888,6,20250805105926,,거제도해수보양온천,1,48,310,EX050100,KOR,127966
충청남도 공주시 수원지공원길 131-21 (금학동),,32602,3038543,12,20231114102559,http://tong.visitkorea.or.kr/cms/resource/36/3038536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3038536_image3_1.jpg,Type3,127.1259251817,36.4304352185,6,20250429113514,,공주 환경성 건강 센터,1,44,150,EX050600,KOR,3038543
경상북도 김천시 증산면 수도길 1237-89,,39695,2660941,12,20200624232550,http://tong.visitkorea.or.kr/cms/resource/90/3519690_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3519690_image3_1.jpg,Type3,128.0022377784,35.8514140611,6,20250811102716,054-435-3412~4,국립김천치유의숲,1,47,150,EX050700,KOR,2660941
강원특별자치도 강릉시 성산면 대관령옛길 127-42,(어흘리),25443,2554069,12,20180718004958,http://tong.visitkorea.or.kr/cms/resource/12/3490812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3490812_image3_1.jpg,Type3,128.7990518679,37.7080690523,6,20250827162311,033-642-8382,국립대관령치유의숲,1,51,150,EX050600,KOR,2554069
울산광역시 울주군 온양읍 대운상대길 225-92,,44972,2555756,12,20180727224059,http://tong.visitkorea.or.kr/cms/resource/94/2662694_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2662694_image2_1.bmp,Type3,129.2361865678,35.3901665277,6,20250731105115,052-237-8600,국립대운산치유의숲,1,31,710,EX050600,KOR,2555756
경기도 양평군 양동면 황거길 262-10,,12537,2554095,12,20180718014333,http://tong.visitkorea.or.kr/cms/resource/82/3501782_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3501782_image3_1.jpg,Type1,127.7181068651,37.4611854870,6,20250702095014,031-8079-7944,국립양평치유의숲,1,41,830,EX050600,KOR,2554095
전라남도 장성군 서삼면 추암로 716,,57231,127394,12,20030703090000,,,,126.7314629993,35.3688466251,6,20250822100208,,국립장성치유의숲,1,46,880,EX050600,KOR,127394
충청북도 제천시 청풍면 학현소야로 590,,27215,2718685,12,20210527231353,http://tong.visitkorea.or.kr/cms/resource/12/3106112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3106112_image3_1.jpg,Type3,128.2447946692,37.0128775418,6,20250402162417,043-653-0246,국립제천치유의숲,1,43,150,EX050600,KOR,2718685
충청북도 청주시 상당구 낭성면 호정전하울길 99-45,,28193,3034650,12,20231107021515,http://tong.visitkorea.or.kr/cms/resource/48/3034648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3034648_image3_1.jpg,Type3,127.6057410622,36.6131728142,6,20250418132526,,국화참숯불가마찜질,1,43,111,EX050200,KOR,3034650
